AIRPORT3171,AIRPORT3171,"Khunan Phumipol Airport","Tak","Thailand",null,"VTPY"
AIRPORT3170,AIRPORT3170,"Phitsanulok Airport","Phitsanulok","Thailand","PHS","VTPP"
AIRPORT7523,AIRPORT7523,"First Flight Airport","Kill Devil Hills","United States","FFA","KFFA"
AIRPORT7522,AIRPORT7522,"Kinston Regional Jetport At Stallings Field","Kinston","United States","ISO","KISO"
AIRPORT7521,AIRPORT7521,"Yarmouth Airport","Yarmouth","Canada","YQI","CYQI"
AIRPORT3169,AIRPORT3169,"Nakhon Sawan Airport","Nakhon Sawan","Thailand",null,"VTPN"
AIRPORT3167,AIRPORT3167,"Sak Long Airport","Phetchabun","Thailand",null,"VTPL"
AIRPORT3166,AIRPORT3166,"Takhli Airport","Nakhon Sawan","Thailand",null,"VTPI"
AIRPORT3165,AIRPORT3165,"Hua Hin Airport","Prachuap Khiri Khan","Thailand","HHQ","VTPH"
AIRPORT3164,AIRPORT3164,"Phrae Airport","Phrae","Thailand","PRH","VTCP"
AIRPORT3163,AIRPORT3163,"Lampang Airport","Lampang","Thailand","LPT","VTCL"
AIRPORT3162,AIRPORT3162,"Watthana Nakhon Airport","Prachin Buri","Thailand",null,"VTBW"
AIRPORT3161,AIRPORT3161,"U-Tapao International Airport","Pattaya","Thailand","UTP","VTBU"
AIRPORT7519,AIRPORT7519,"Zhijiang Airport","Zhijiang","China","HJJ","ZGCJ"
AIRPORT7518,AIRPORT7518,"Assumption Island Airport","Assumption Island","Seychelles",null,"FSAS"
AIRPORT7517,AIRPORT7517,"Ryans Creek Aerodrome","Stewart Island","New Zealand","SZS","NZRC"
AIRPORT7516,AIRPORT7516,"Chernobayevka Airport","Kherson","Ukraine","KHE","UKOH"
AIRPORT7514,AIRPORT7514,"Destin Executive Airport","Destin","United States","DTS","KDTS"
AIRPORT7513,AIRPORT7513,"Addison Airport","Addison","United States","ADS","KADS"
AIRPORT7511,AIRPORT7511,"Ohio State University Airport","Columbus","United States","OSU","KOSU"
AIRPORT7510,AIRPORT7510,"Stepanakert Air Base","Stepanakert","Azerbaijan",null,"UB13"
AIRPORT3159,AIRPORT3159,"Khok Kathiam Airport","Lop Buri","Thailand",null,"VTBL"
AIRPORT3158,AIRPORT3158,"Kamphaeng Saen Airport","Nakhon Pathom","Thailand",null,"VTBK"
