AIRPORT1598,AIRPORT1598,"Ben Ya'akov Airport","Rosh Pina","Israel","RPN","LLIB"
AIRPORT3771,AIRPORT3771,"Plattsburgh International Airport","Plattsburgh","United States","PBG","KPBG"
AIRPORT1597,AIRPORT1597,"Hatzor Air Base","Haztor","Israel",null,"LLHS"
AIRPORT3770,AIRPORT3770,"Texarkana Regional Webb Field","Texarkana","United States","TXK","KTXK"
AIRPORT1596,AIRPORT1596,"Haifa International Airport","Haifa","Israel","HFA","LLHA"
AIRPORT1595,AIRPORT1595,"Ein Yahav Airfield","Eyn-yahav","Israel",null,"LLEY"
AIRPORT1594,AIRPORT1594,"Eilat Airport","Elat","Israel","ETH","LLET"
AIRPORT1593,AIRPORT1593,"Ein Shemer Airfield","Eyn-shemer","Israel",null,"LLES"
AIRPORT1592,AIRPORT1592,"Tel Nof Air Base","Tel-nof","Israel",null,"LLEK"
AIRPORT1591,AIRPORT1591,"Beersheba (Teyman) Airport","Beer-sheba","Israel","BEV","LLBS"
AIRPORT1590,AIRPORT1590,"Ben Gurion International Airport","Tel-aviv","Israel","TLV","LLBG"
AIRPORT5949,AIRPORT5949,"Skardu Airport","Skardu","Pakistan","KDU","OPSD"
AIRPORT5948,AIRPORT5948,"Parachinar Airport","Parachinar","Pakistan","PAJ","OPPC"
AIRPORT5947,AIRPORT5947,"Ormara Airport","Ormara Raik","Pakistan","ORW","OPOR"
AIRPORT5946,AIRPORT5946,"Khuzdar Airport","Khuzdar","Pakistan","KDD","OPKH"
AIRPORT5945,AIRPORT5945,"Hyderabad Airport","Hyderabad","Pakistan","HDD","OPKD"
AIRPORT5944,AIRPORT5944,"Jiwani Airport","Jiwani","Pakistan","JIW","OPJI"
AIRPORT5943,AIRPORT5943,"Dera Ismael Khan Airport","Dera Ismael Khan","Pakistan","DSK","OPDI"
AIRPORT9068,AIRPORT9068,"Brampton Island Airport","Brampton Island","Australia","BMP","YBPI"
AIRPORT3769,AIRPORT3769,"Beaufort County Airport","Beaufort","United States","BFT","KARW"
AIRPORT5942,AIRPORT5942,"Dera Ghazi Khan Airport","Dera Ghazi Khan","Pakistan","DEA","OPDG"
AIRPORT3768,AIRPORT3768,"New Orleans NAS JRB/Alvin Callender Field","New Orleans","United States","NBG","KNBG"
AIRPORT5941,AIRPORT5941,"Dalbandin Airport","Dalbandin","Pakistan","DBA","OPDB"
AIRPORT9066,AIRPORT9066,"Atlanta South Regional Airport/Tara Field","Hampton","United States","4A7","K4A7"
AIRPORT3767,AIRPORT3767,"Mc Connell Air Force Base","Wichita","United States","IAB","KIAB"
AIRPORT5940,AIRPORT5940,"Chitral Airport","Chitral","Pakistan","CJL","OPCH"
AIRPORT9065,AIRPORT9065,"Lake Macquarie Airport","Lake Macquarie","Australia","BEO","YPEC"
AIRPORT3766,AIRPORT3766,"Mineral Wells Airport","Mineral Wells","United States","MWL","KMWL"
AIRPORT3765,AIRPORT3765,"Chandler Municipal Airport","Chandler","United States",null,"KCHD"
AIRPORT3764,AIRPORT3764,"Edward G. Pitka Sr Airport","Galena","United States","GAL","PAGA"
AIRPORT9062,AIRPORT9062,"Kodinsk Airport","Kodinsk","Russia",null,"UNKI"
AIRPORT3763,AIRPORT3763,"Wright-Patterson Air Force Base","Dayton","United States","FFO","KFFO"
AIRPORT1589,AIRPORT1589,"Vodochody Airport","Vodochody","Czech Republic",null,"LKVO"
AIRPORT3762,AIRPORT3762,"Princeton Municipal Airport","Princeton","United States","PNM","KPNM"
AIRPORT1588,AIRPORT1588,"Brno-Tuřany Airport","Brno","Czech Republic","BRQ","LKTB"
AIRPORT3761,AIRPORT3761,"Henry Post Army Air Field (Fort Sill)","Fort Sill","United States","FSI","KFSI"
AIRPORT1587,AIRPORT1587,"Václav Havel Airport Prague","Prague","Czech Republic","PRG","LKPR"
AIRPORT3760,AIRPORT3760,"Drake Field","Fayetteville","United States","FYV","KFYV"
AIRPORT1586,AIRPORT1586,"Přerov Air Base","Prerov","Czech Republic","PRV","LKPO"
AIRPORT1585,AIRPORT1585,"Pribram Airport","Pribram","Czech Republic",null,"LKPM"
AIRPORT1584,AIRPORT1584,"Pardubice Airport","Pardubice","Czech Republic","PED","LKPD"
AIRPORT1583,AIRPORT1583,"Náměšť Air Base","Namest","Czech Republic",null,"LKNA"
AIRPORT1582,AIRPORT1582,"Ostrava Leos Janáček Airport","Ostrava","Czech Republic","OSR","LKMT"
AIRPORT1581,AIRPORT1581,"Mnichovo Hradiště Airport","Mnichovo Hradiste","Czech Republic",null,"LKMH"
AIRPORT1580,AIRPORT1580,"Plzeň-Líně Airport","Line","Czech Republic",null,"LKLN"
AIRPORT5939,AIRPORT5939,"Bahawalpur Airport","Bahawalpur","Pakistan","BHV","OPBW"
AIRPORT5938,AIRPORT5938,"Bannu Airport","Bannu","Pakistan","BNP","OPBN"
AIRPORT5937,AIRPORT5937,"Al Ain International Airport","Al Ain","United Arab Emirates","AAN","OMAL"
AIRPORT5936,AIRPORT5936,"Urmia Airport","Uromiyeh","Iran","OMH","OITR"
AIRPORT5935,AIRPORT5935,"Ardabil Airport","Ardabil","Iran","ADU","OITL"
AIRPORT5934,AIRPORT5934,"Lar Airport","Lar","Iran","LRR","OISL"
AIRPORT5933,AIRPORT5933,"Dasht-e Naz Airport","Dasht-e-naz","Iran","SRY","OINZ"
AIRPORT3759,AIRPORT3759,"Port Columbus International Airport","Columbus","United States","CMH","KCMH"
AIRPORT5932,AIRPORT5932,"Noshahr Airport","Noshahr","Iran","NSH","OINN"
AIRPORT3758,AIRPORT3758,"El Centro Naf Airport","El Centro","United States","NJK","KNJK"
AIRPORT5931,AIRPORT5931,"Sabzevar National Airport","Sabzevar","Iran","AFZ","OIMS"
AIRPORT3757,AIRPORT3757,"Randolph Air Force Base","San Antonio","United States","RND","KRND"
AIRPORT5930,AIRPORT5930,"Bojnord Airport","Bojnourd","Iran","BJB","OIMN"
AIRPORT3756,AIRPORT3756,"Palmdale Regional/USAF Plant 42 Airport","Palmdale","United States","PMD","KPMD"
AIRPORT9054,AIRPORT9054,"Yeltsovka Airport","Novosibirsk","Russia",null,"UNNE"
AIRPORT3755,AIRPORT3755,"Truth Or Consequences Municipal Airport","Truth Or Consequences","United States","TCS","KTCS"
AIRPORT3754,AIRPORT3754,"Middle Georgia Regional Airport","Macon","United States","MCN","KMCN"
AIRPORT3753,AIRPORT3753,"Sioux Gateway Col. Bud Day Field","Sioux City","United States","SUX","KSUX"
AIRPORT1579,AIRPORT1579,"Karlovy Vary International Airport","Karlovy Vary","Czech Republic","KLV","LKKV"
AIRPORT3752,AIRPORT3752,"Philadelphia International Airport","Philadelphia","United States","PHL","KPHL"
AIRPORT1578,AIRPORT1578,"Kunovice Airport","Kunovice","Czech Republic",null,"LKKU"
AIRPORT3751,AIRPORT3751,"Denver International Airport","Denver","United States","DEN","KDEN"
AIRPORT1577,AIRPORT1577,"Kbely Air Base","Praha","Czech Republic",null,"LKKB"
AIRPORT3750,AIRPORT3750,"Northeast Philadelphia Airport","Philadelphia","United States","PNE","KPNE"
AIRPORT1576,AIRPORT1576,"Hořovice Airport","Horovice","Czech Republic",null,"LKHV"
AIRPORT1575,AIRPORT1575,"Hradec Králové Airport","Hradec Kralove","Czech Republic",null,"LKHK"
AIRPORT1574,AIRPORT1574,"Čáslav Air Base","Caslav","Czech Republic",null,"LKCV"
AIRPORT1573,AIRPORT1573,"České Budějovice Airport","Ceske Budejovice","Czech Republic",null,"LKCS"
AIRPORT1572,AIRPORT1572,"Slovenj Gradec Airport","Slovenj Gradec","Slovenia",null,"LJSG"
AIRPORT1571,AIRPORT1571,"Portoroz Airport","Portoroz","Slovenia","POW","LJPZ"
AIRPORT1570,AIRPORT1570,"Maribor Airport","Maribor","Slovenia","MBX","LJMB"
AIRPORT5929,AIRPORT5929,"Rafsanjan Airport","Rafsanjan","Iran","RJN","OIKR"
AIRPORT5928,AIRPORT5928,"Bam Airport","Bam","Iran","BXR","OIKM"
AIRPORT5927,AIRPORT5927,"Khoram Abad Airport","Khorram Abad","Iran","KHD","OICK"
AIRPORT5926,AIRPORT5926,"Wadi Al Dawasir Airport","Wadi-al-dawasir","Saudi Arabia","EWD","OEWD"
AIRPORT5925,AIRPORT5925,"Al-Jawf Domestic Airport","Al-Jawf","Saudi Arabia","AJF","OESK"
AIRPORT5924,AIRPORT5924,"Dawadmi Domestic Airport","Dawadmi","Saudi Arabia","DWD","OEDW"
AIRPORT9048,AIRPORT9048,"Velikiye Luki Airport","Velikiye Luki","Russia","VLU","ULOL"
AIRPORT3749,AIRPORT3749,"Lea County Regional Airport","Hobbs","United States","HOB","KHOB"
AIRPORT5922,AIRPORT5922,"Fayzabad Airport","Faizabad","Afghanistan","FBD","OAFZ"
AIRPORT3748,AIRPORT3748,"Norman Y. Mineta San Jose International Airport","San Jose","United States","SJC","KSJC"
AIRPORT5921,AIRPORT5921,"Île des Pins Airport","Île des Pins","New Caledonia","ILP","NWWE"
AIRPORT3747,AIRPORT3747,"Chicago Midway International Airport","Chicago","United States","MDW","KMDW"
AIRPORT5920,AIRPORT5920,"Île Art - Waala Airport","Waala","New Caledonia","BMY","NWWC"
AIRPORT9045,AIRPORT9045,"Zafer Airport","Kutahya","Turkey","KZR","LTBZ"
AIRPORT3746,AIRPORT3746,"Naval Air Station Key West/Boca Chica Field","Key West","United States","NQX","KNQX"
AIRPORT9044,AIRPORT9044,"Şanlıurfa GAP Airport","Sanliurfa","Turkey","GNY","LTCS"
AIRPORT3745,AIRPORT3745,"Syracuse Hancock International Airport","Syracuse","United States","SYR","KSYR"
AIRPORT3744,AIRPORT3744,"Corpus Christi International Airport","Corpus Christi","United States","CRP","KCRP"
AIRPORT9042,AIRPORT9042,"Kavalerovo Airport","Kavalerovo","Russia",null,"UHWK"
AIRPORT3743,AIRPORT3743,"Four Corners Regional Airport","Farmington","United States","FMN","KFMN"
AIRPORT1569,AIRPORT1569,"Ljubljana Jože Pučnik Airport","Ljubljana","Slovenia","LJU","LJLJ"
AIRPORT3742,AIRPORT3742,"Selfridge Angb Airport","Mount Clemens","United States","MTC","KMTC"
AIRPORT1568,AIRPORT1568,"Cerklje Airport","Cerklje","Slovenia",null,"LJCE"
AIRPORT1567,AIRPORT1567,"Perugia San Francesco d'Assisi – Umbria International Airport","Perugia","Italy","PEG","LIRZ"
AIRPORT3740,AIRPORT3740,"Cape May County Airport","Wildwood","United States","WWD","KWWD"
AIRPORT1566,AIRPORT1566,"Viterbo Airport","Viterbo","Italy",null,"LIRV"
AIRPORT999,AIRPORT999,"N'Djamena International Airport","N'djamena","Chad","NDJ","FTTJ"
AIRPORT1565,AIRPORT1565,"Urbe Airport","Rome","Italy",null,"LIRU"
AIRPORT998,AIRPORT998,"Moundou Airport","Moundou","Chad","MQQ","FTTD"
AIRPORT1564,AIRPORT1564,"Grosseto Air Base","Grosseto","Italy","GRS","LIRS"
AIRPORT997,AIRPORT997,"Abeche Airport","Abeche","Chad","AEH","FTTC"
AIRPORT1563,AIRPORT1563,"Peretola Airport","Florence","Italy","FLR","LIRQ"
AIRPORT996,AIRPORT996,"Coetivy Airport","Coetivy","Seychelles",null,"FSSC"
AIRPORT1562,AIRPORT1562,"Pisa International Airport","Pisa","Italy","PSA","LIRP"
AIRPORT995,AIRPORT995,"Praslin Airport","Praslin","Seychelles","PRI","FSPP"
AIRPORT1561,AIRPORT1561,"Naples International Airport","Naples","Italy","NAP","LIRN"
AIRPORT994,AIRPORT994,"Seychelles International Airport","Mahe","Seychelles","SEZ","FSIA"
AIRPORT1560,AIRPORT1560,"Grazzanise Airport","Grazzanise","Italy",null,"LIRM"
AIRPORT993,AIRPORT993,"Farquhar Airport","Farquhar","Seychelles",null,"FSFA"
AIRPORT992,AIRPORT992,"Desroches Airport","Desroches","Seychelles","DES","FSDR"
AIRPORT991,AIRPORT991,"Alphonse Airport","Alphonse","Seychelles",null,"FSAL"
AIRPORT990,AIRPORT990,"Vilankulo Airport","Vilankulu","Mozambique","VNX","FQVL"
AIRPORT5919,AIRPORT5919,"Tiga Airport","Tiga","New Caledonia","TGJ","NWWA"
AIRPORT5918,AIRPORT5918,"Ipota Airport","Ipota","Vanuatu","IPA","NVVI"
AIRPORT5917,AIRPORT5917,"Futuna Airport","Futuna Island","Vanuatu","FTA","NVVF"
AIRPORT5916,AIRPORT5916,"Dillon's Bay Airport","Dillon's Bay","Vanuatu","DLY","NVVD"
AIRPORT5915,AIRPORT5915,"Aniwa Airport","Aniwa","Vanuatu","AWD","NVVB"
AIRPORT5914,AIRPORT5914,"Aneityum Airport","Anelghowhat","Vanuatu","AUY","NVVA"
AIRPORT5913,AIRPORT5913,"North West Santo Airport","Olpoi","Vanuatu","OLZ","NVSZ"
AIRPORT3739,AIRPORT3739,"Dothan Regional Airport","Dothan","United States","DHN","KDHN"
AIRPORT5912,AIRPORT5912,"Southwest Bay Airport","Malekula Island","Vanuatu","SWJ","NVSX"
AIRPORT3738,AIRPORT3738,"Brownsville South Padre Island International Airport","Brownsville","United States","BRO","KBRO"
AIRPORT5911,AIRPORT5911,"Valesdir Airport","Valesdir","Vanuatu","VLS","NVSV"
AIRPORT3737,AIRPORT3737,"Coleman A. Young Municipal Airport","Detroit","United States","DET","KDET"
AIRPORT5910,AIRPORT5910,"Uléi Airport","Ambryn Island","Vanuatu","ULB","NVSU"
AIRPORT3736,AIRPORT3736,"Roswell International Air Center Airport","Roswell","United States","ROW","KROW"
AIRPORT3735,AIRPORT3735,"Majors Airport","Greenvile","United States","GVT","KGVT"
AIRPORT3734,AIRPORT3734,"Ontario International Airport","Ontario","United States","ONT","KONT"
AIRPORT3733,AIRPORT3733,"Shaw Air Force Base","Sumter","United States","SSC","KSSC"
AIRPORT1559,AIRPORT1559,"Latina Air Base","Latina","Italy","QLT","LIRL"
AIRPORT3732,AIRPORT3732,"Monroe Regional Airport","Monroe","United States","MLU","KMLU"
AIRPORT1558,AIRPORT1558,"Marina Di Campo Airport","Marina Di Campo","Italy","EBA","LIRJ"
AIRPORT3731,AIRPORT3731,"San Diego International Airport","San Diego","United States","SAN","KSAN"
AIRPORT3730,AIRPORT3730,"Coastal Carolina Regional Airport","New Bern","United States","EWN","KEWN"
AIRPORT1556,AIRPORT1556,"Guidonia Air Base","Guidonia","Italy",null,"LIRG"
AIRPORT989,AIRPORT989,"Ulongwe Airport","Ulongwe","Mozambique",null,"FQUG"
AIRPORT1555,AIRPORT1555,"Leonardo da Vinci–Fiumicino Airport","Rome","Italy","FCO","LIRF"
AIRPORT988,AIRPORT988,"Chingozi Airport","Tete","Mozambique","TET","FQTT"
AIRPORT1554,AIRPORT1554,"Pratica Di Mare Air Base","Pratica Di Mare","Italy",null,"LIRE"
AIRPORT987,AIRPORT987,"Songo Airport","Songo","Mozambique",null,"FQSG"
AIRPORT1553,AIRPORT1553,"Ciampino–G. B. Pastine International Airport","Rome","Italy","CIA","LIRA"
AIRPORT986,AIRPORT986,"Quelimane Airport","Quelimane","Mozambique","UEL","FQQL"
AIRPORT1552,AIRPORT1552,"Siena-Ampugnano Airport","Siena","Italy","SAY","LIQS"
AIRPORT985,AIRPORT985,"Pemba Airport","Pemba","Mozambique","POL","FQPB"
AIRPORT1551,AIRPORT1551,"Venice Marco Polo Airport","Venice","Italy","VCE","LIPZ"
AIRPORT984,AIRPORT984,"Nampula Airport","Nampula","Mozambique","APL","FQNP"
AIRPORT1550,AIRPORT1550,"Verona Villafranca Airport","Villafranca","Italy","VRN","LIPX"
AIRPORT983,AIRPORT983,"Nacala Airport","Nacala","Mozambique","MNC","FQNC"
AIRPORT982,AIRPORT982,"Marrupa Airport","Marrupa","Mozambique",null,"FQMR"
AIRPORT981,AIRPORT981,"Mocímboa da Praia Airport","Mocimboa Da Praia","Mozambique","MZB","FQMP"
AIRPORT980,AIRPORT980,"Mueda Airport","Mueda","Mozambique",null,"FQMD"
AIRPORT5909,AIRPORT5909,"Tongoa Airport","Tongoa Island","Vanuatu","TGH","NVST"
AIRPORT5908,AIRPORT5908,"Santo Pekoa International Airport","Santo","Vanuatu","SON","NVSS"
AIRPORT5907,AIRPORT5907,"Redcliffe Airport","Redcliffe","Vanuatu","RCL","NVSR"
AIRPORT5906,AIRPORT5906,"Gaua Island Airport","Gaua Island","Vanuatu","ZGU","NVSQ"
AIRPORT5905,AIRPORT5905,"Norsup Airport","Norsup","Vanuatu","NUS","NVSP"
AIRPORT5904,AIRPORT5904,"Lonorore Airport","Lonorore","Vanuatu","LNE","NVSO"
AIRPORT5903,AIRPORT5903,"Maewo-Naone Airport","Maewo Island","Vanuatu","MWF","NVSN"
AIRPORT3729,AIRPORT3729,"Des Moines International Airport","Des Moines","United States","DSM","KDSM"
AIRPORT5902,AIRPORT5902,"Lamen Bay Airport","Lamen Bay","Vanuatu","LNB","NVSM"
AIRPORT3728,AIRPORT3728,"Honolulu International Airport","Honolulu","United States","HNL","PHNL"
AIRPORT5901,AIRPORT5901,"Lamap Airport","Lamap","Vanuatu","LPM","NVSL"
AIRPORT9026,AIRPORT9026,"Lensk Airport","Lensk","Russia","ULK","UERL"
AIRPORT3727,AIRPORT3727,"Lackland Air Force Base","San Antonio","United States","SKF","KSKF"
AIRPORT5900,AIRPORT5900,"Tavie Airport","Paama Island","Vanuatu","PBJ","NVSI"
AIRPORT9025,AIRPORT9025,"Bijie Feixiong Airport","Bijie","China","BFJ","ZUBJ"
AIRPORT3726,AIRPORT3726,"Boeing Field King County International Airport","Seattle","United States","BFI","KBFI"
AIRPORT3724,AIRPORT3724,"Ogdensburg International Airport","Ogdensburg","United States","OGS","KOGS"
AIRPORT3723,AIRPORT3723,"Fort Worth Meacham International Airport","Fort Worth","United States","FTW","KFTW"
AIRPORT1549,AIRPORT1549,"Padova Airport","Padova","Italy","QPA","LIPU"
AIRPORT3722,AIRPORT3722,"Palm Beach International Airport","West Palm Beach","United States","PBI","KPBI"
AIRPORT1548,AIRPORT1548,"Vicenza Airport","Vicenza","Italy","VIC","LIPT"
AIRPORT3721,AIRPORT3721,"Dade Collier Training and Transition Airport","Miami","United States","TNT","KTNT"
AIRPORT1547,AIRPORT1547,"Istrana Air Base","Treviso","Italy",null,"LIPS"
AIRPORT3720,AIRPORT3720,"Portland International Airport","Portland","United States","PDX","KPDX"
AIRPORT1546,AIRPORT1546,"Federico Fellini International Airport","Rimini","Italy","RMI","LIPR"
AIRPORT979,AIRPORT979,"Maputo Airport","Maputo","Mozambique","MPM","FQMA"
AIRPORT1545,AIRPORT1545,"Trieste–Friuli Venezia Giulia Airport","Ronchi De Legionari","Italy","TRS","LIPQ"
AIRPORT978,AIRPORT978,"Lumbo Airport","Lumbo","Mozambique",null,"FQLU"
AIRPORT1544,AIRPORT1544,"Brescia Airport","Brescia","Italy","VBS","LIPO"
AIRPORT977,AIRPORT977,"Lichinga Airport","Lichinga","Mozambique","VXC","FQLC"
AIRPORT1543,AIRPORT1543,"Verona-Boscomantico Airport","Verona","Italy",null,"LIPN"
AIRPORT976,AIRPORT976,"Inhambane Airport","Inhambane","Mozambique","INH","FQIN"
AIRPORT1542,AIRPORT1542,"Ghedi Air Base","Ghedi","Italy",null,"LIPL"
AIRPORT1541,AIRPORT1541,"Forlì Airport","Forli","Italy","FRL","LIPK"
AIRPORT974,AIRPORT974,"Beira Airport","Beira","Mozambique","BEW","FQBR"
AIRPORT1540,AIRPORT1540,"Rivolto Air Base","Rivolto","Italy",null,"LIPI"
AIRPORT973,AIRPORT973,"São Tomé International Airport","Sao Tome","Sao Tome and Principe","TMS","FPST"
AIRPORT972,AIRPORT972,"Principe Airport","Principe","Sao Tome and Principe","PCP","FPPR"
AIRPORT971,AIRPORT971,"M'Vengue El Hadj Omar Bongo Ondimba International Airport","Franceville","Gabon","MVB","FOON"
AIRPORT970,AIRPORT970,"Libreville Leon M'ba International Airport","Libreville","Gabon","LBV","FOOL"
AIRPORT3719,AIRPORT3719,"Columbia Regional Airport","Columbia","United States","COU","KCOU"
AIRPORT3718,AIRPORT3718,"Abilene Regional Airport","Abilene","United States","ABI","KABI"
AIRPORT3717,AIRPORT3717,"General Mitchell International Airport","Milwaukee","United States","MKE","KMKE"
AIRPORT3716,AIRPORT3716,"Felts Field","Spokane","United States","SFF","KSFF"
AIRPORT3715,AIRPORT3715,"Easterwood Field","College Station","United States","CLL","KCLL"
AIRPORT3714,AIRPORT3714,"Washington Dulles International Airport","Washington","United States","IAD","KIAD"
AIRPORT3713,AIRPORT3713,"Durango La Plata County Airport","Durango","United States","DRO","KDRO"
AIRPORT1539,AIRPORT1539,"Treviso-Sant'Angelo Airport","Treviso","Italy","TSF","LIPH"
AIRPORT3712,AIRPORT3712,"Jacksonville International Airport","Jacksonville","United States","JAX","KJAX"
AIRPORT1538,AIRPORT1538,"Bologna Guglielmo Marconi Airport","Bologna","Italy","BLQ","LIPE"
AIRPORT3711,AIRPORT3711,"Burlington International Airport","Burlington","United States","BTV","KBTV"
AIRPORT1537,AIRPORT1537,"Cervia Air Base","Cervia","Italy",null,"LIPC"
AIRPORT3710,AIRPORT3710,"Chico Municipal Airport","Chico","United States","CIC","KCIC"
AIRPORT1536,AIRPORT1536,"Bolzano Airport","Bolzano","Italy","BZO","LIPB"
AIRPORT969,AIRPORT969,"Makokou Airport","Makokou","Gabon","MKU","FOOK"
AIRPORT1535,AIRPORT1535,"Aviano Air Base","Aviano","Italy","AVB","LIPA"
AIRPORT968,AIRPORT968,"Omboue Hopital Airport","Omboue Hospial","Gabon","OMB","FOOH"
AIRPORT1534,AIRPORT1534,"Cuneo International Airport","Cuneo","Italy","CUF","LIMZ"
AIRPORT967,AIRPORT967,"Port Gentil Airport","Port Gentil","Gabon","POG","FOOG"
AIRPORT966,AIRPORT966,"Bitam Airport","Bitam","Gabon","BMM","FOOB"
AIRPORT1532,AIRPORT1532,"Piacenza San Damiano Air Base","Piacenza","Italy","QPZ","LIMS"
AIRPORT965,AIRPORT965,"Lambarene Airport","Lambarene","Gabon","LBQ","FOGR"
AIRPORT1531,AIRPORT1531,"Parma Airport","Parma","Italy","PMF","LIMP"
AIRPORT964,AIRPORT964,"Okondja Airport","Okondja","Gabon","OKN","FOGQ"
AIRPORT1530,AIRPORT1530,"Cameri Air Base [MIL]","Cameri","Italy",null,"LIMN"
AIRPORT963,AIRPORT963,"Oyem Airport","Oyem","Gabon","OYE","FOGO"
AIRPORT962,AIRPORT962,"Xangongo Airport","Xangongo","Angola","XGN","FNXA"
AIRPORT961,AIRPORT961,"Uige Airport","Uige","Angola","UGO","FNUG"
AIRPORT960,AIRPORT960,"Luena Airport","Luena","Angola","LUO","FNUE"
AIRPORT9008,AIRPORT9008,"Reichenbach Air Base","Reichenbach im Kandertal","Switzerland",null,"LSGR"
AIRPORT3709,AIRPORT3709,"Calexico International Airport","Calexico","United States","CXL","KCXL"
AIRPORT3708,AIRPORT3708,"San Angelo Regional Mathis Field","San Angelo","United States","SJT","KSJT"
AIRPORT9006,AIRPORT9006,"Tilpa Airport","Tilpa","Australia",null,"YTLP"
AIRPORT3707,AIRPORT3707,"New River MCAS /H/ /Mccutcheon Fld/ Airport","Jacksonville","United States",null,"KNCA"
AIRPORT3706,AIRPORT3706,"Godman Army Air Field","Fort Knox","United States","FTK","KFTK"
AIRPORT9004,AIRPORT9004,"Pooncarie Airport","Pooncarie","Australia",null,"YPCE"
AIRPORT3705,AIRPORT3705,"Molokai Airport","Molokai","United States","MKK","PHMK"
AIRPORT3704,AIRPORT3704,"Mc Kellar Sipes Regional Airport","Jackson","United States","MKL","KMKL"
AIRPORT9002,AIRPORT9002,"Menindee Airport","Menindee","Australia",null,"YMED"
AIRPORT9001,AIRPORT9001,"Ivanhoe Airport","Ivanhoe","Australia",null,"YIVO"
AIRPORT1529,AIRPORT1529,"Milano Linate Airport","Milan","Italy","LIN","LIML"
AIRPORT3702,AIRPORT3702,"Hillsboro Municipal Airport","Hillsboro","United States","INJ","KINJ"
AIRPORT1528,AIRPORT1528,"Genoa Cristoforo Colombo Airport","Genoa","Italy","GOA","LIMJ"
AIRPORT3701,AIRPORT3701,"Augusta State Airport","Augusta","United States","AUG","KAUG"
AIRPORT1527,AIRPORT1527,"Villanova D'Albenga International Airport","Albenga","Italy","ALL","LIMG"
AIRPORT3700,AIRPORT3700,"Waco Regional Airport","Waco","United States","ACT","KACT"
AIRPORT1526,AIRPORT1526,"Turin Airport","Torino","Italy","TRN","LIMF"
AIRPORT959,AIRPORT959,"Lubango Airport","Lubango","Angola","SDD","FNUB"
AIRPORT1525,AIRPORT1525,"Il Caravaggio International Airport","Bergamo","Italy","BGY","LIME"
AIRPORT958,AIRPORT958,"Soyo Airport","Soyo","Angola","SZA","FNSO"
AIRPORT1524,AIRPORT1524,"Malpensa International Airport","Milano","Italy","MXP","LIMC"
AIRPORT957,AIRPORT957,"Saurimo Airport","Saurimo","Angola","VHC","FNSA"
AIRPORT1523,AIRPORT1523,"Milano-Bresso Airport","Milano","Italy",null,"LIMB"
AIRPORT956,AIRPORT956,"Porto Amboim Airport","Porto Amboim","Angola","PBN","FNPA"
AIRPORT1522,AIRPORT1522,"Torino-Aeritalia Airport","Turin","Italy",null,"LIMA"
AIRPORT955,AIRPORT955,"Negage Airport","Negage","Angola","GXG","FNNG"
AIRPORT1521,AIRPORT1521,"Tortolì Airport","Tortoli","Italy","TTB","LIET"
AIRPORT1520,AIRPORT1520,"Olbia Costa Smeralda Airport","Olbia","Italy","OLB","LIEO"
AIRPORT953,AIRPORT953,"Menongue Airport","Menongue","Angola","SPP","FNME"
AIRPORT952,AIRPORT952,"Malanje Airport","Malanje","Angola","MEG","FNMA"
AIRPORT951,AIRPORT951,"Quatro de Fevereiro Airport","Luanda","Angola","LAD","FNLU"
AIRPORT950,AIRPORT950,"Lobito Airport","Lobito","Angola",null,"FNLB"
AIRPORT1519,AIRPORT1519,"Cagliari Elmas Airport","Cagliari","Italy","CAG","LIEE"
AIRPORT1518,AIRPORT1518,"Decimomannu Air Base","Decimomannu","Italy","DCI","LIED"
AIRPORT1517,AIRPORT1517,"Alghero-Fertilia Airport","Alghero","Italy","AHO","LIEA"
AIRPORT1516,AIRPORT1516,"Sigonella Navy Air Base","Sigonella","Italy","NSY","LICZ"
AIRPORT949,AIRPORT949,"Kuito Airport","Kuito","Angola","SVP","FNKU"
AIRPORT1515,AIRPORT1515,"Vincenzo Florio Airport Trapani-Birgi","Trapani","Italy","TPS","LICT"
AIRPORT948,AIRPORT948,"Nova Lisboa Airport","Huambo","Angola","NOV","FNHU"
AIRPORT1514,AIRPORT1514,"Reggio Calabria Airport","Reggio Calabria","Italy","REG","LICR"
AIRPORT1513,AIRPORT1513,"Palermo-Boccadifalco Airport","Palermo","Italy",null,"LICP"
AIRPORT946,AIRPORT946,"Cabinda Airport","Cabinda","Angola","CAB","FNCA"
AIRPORT1512,AIRPORT1512,"Falcone–Borsellino Airport","Palermo","Italy","PMO","LICJ"
AIRPORT945,AIRPORT945,"Benguela Airport","Benguela","Angola","BUG","FNBG"
AIRPORT1511,AIRPORT1511,"Pantelleria Airport","Pantelleria","Italy","PNL","LICG"
AIRPORT944,AIRPORT944,"Mbanza Congo Airport","M'banza-congo","Angola","SSY","FNBC"
AIRPORT1510,AIRPORT1510,"Lampedusa Airport","Lampedusa","Italy","LMP","LICD"
AIRPORT943,AIRPORT943,"Toliara Airport","Toliara","Madagascar","TLE","FMST"
AIRPORT942,AIRPORT942,"Morombe Airport","Morombe","Madagascar","MXM","FMSR"
AIRPORT941,AIRPORT941,"Mananjary Airport","Mananjary","Madagascar","MNJ","FMSM"
AIRPORT940,AIRPORT940,"Manakara Airport","Manakara","Madagascar","WVK","FMSK"
AIRPORT1509,AIRPORT1509,"Catania-Fontanarossa Airport","Catania","Italy","CTA","LICC"
