AIRLINE3383,AIRLINE3383,"Mall Airways","","MLS","United States",0
AIRLINE3382,AIRLINE3382,"Malila Airlift","","MLC","Democratic Republic of the Congo",0
AIRLINE3381,AIRLINE3381,"Mali Airways","","MTZ","Mali",0
AIRLINE3380,AIRLINE3380,"Mali Air Express","","VXP","Mali",0
AIRLINE20698,AIRLINE20698,"First Flying","","DAK","Japan",1
AIRLINE20695,AIRLINE20695,"UVT Aero","UW",null,"Russia",1
AIRLINE249,AIRLINE249,"Alpha Jet International","","AJW","United States",0
AIRLINE248,AIRLINE248,"ANA & JP Express","","AJV","Japan",0
AIRLINE5559,AIRLINE5559,"Maldivian Air Taxi","8Q",null,"Maldives",1
AIRLINE247,AIRLINE247,"Air Jetsul","","AJU","Portugal",0
AIRLINE246,AIRLINE246,"Amerijet International","M6","AJT","United States",0
AIRLINE245,AIRLINE245,"Aeroejecutivos Colombia","","AJS","Colombia",0
AIRLINE5556,AIRLINE5556,"buzz","UK","BUZ",null,0
AIRLINE244,AIRLINE244,"Aero Jets Corporativos","","AJP","Mexico",0
AIRLINE243,AIRLINE243,"Aeroejecutivo","","AJO","Mexico",0
AIRLINE242,AIRLINE242,"Air Malta","KM","AMC","Malta",1
AIRLINE241,AIRLINE241,"Air Sahara","S2","RSH","India",1
AIRLINE240,AIRLINE240,"Air One","AP","ADH","Italy",1
AIRLINE3379,AIRLINE3379,"Mali Air","","MAE","Austria",0
AIRLINE3378,AIRLINE3378,"Malaysia Airlines","MH","MAS","Malaysia",1
AIRLINE3377,AIRLINE3377,"Malaya Aviatsia Dona","","MKK","Russia",0
AIRLINE3376,AIRLINE3376,"Malawi Express","","MLX","Malawi",0
AIRLINE3375,AIRLINE3375,"Malagasy Airlines","","MLG","Madagascar",0
AIRLINE3374,AIRLINE3374,"Mak Air","","AKM","Kazakhstan",0
AIRLINE3373,AIRLINE3373,"Majestic Airlines","","MAJ","United States",0
AIRLINE1199,AIRLINE1199,"Aeris Gestion","","RIS","Spain",0
AIRLINE3372,AIRLINE3372,"Maine Aviation","","MAT","United States",0
AIRLINE1198,AIRLINE1198,"Aviation Ministry of the Interior of the Russian Federation","","RIF","Russian Federation",0
AIRLINE3371,AIRLINE3371,"Mahfooz Aviation","M2","MZS","Gambia",0
AIRLINE1197,AIRLINE1197,"Air Archipels","","RHL","France",0
AIRLINE3370,AIRLINE3370,"Mahan Air","W5","IRM","Iran",1
AIRLINE1196,AIRLINE1196,"Airbourne School of Flying","","RGT","United Kingdom",0
AIRLINE1195,AIRLINE1195,"Argo","","RGO","Dominican Republic",0
AIRLINE1194,AIRLINE1194,"Aerotransportes Rafilher","","RFD","Mexico",0
AIRLINE1193,AIRLINE1193,"Aero Africa","","RFC","Swaziland",0
AIRLINE1192,AIRLINE1192,"Aero-Rey","","REY","Mexico",0
AIRLINE1191,AIRLINE1191,"Air Austral","UU","REU","France",1
AIRLINE1190,AIRLINE1190,"Australian Maritime Safety Authority","","RES","Australia",0
AIRLINE20686,AIRLINE20686,"SkyBahamas Airlines","Q7",null,"Bahamas",1
AIRLINE239,AIRLINE239,"Air Jamaica","JM","AJM","Jamaica",1
AIRLINE238,AIRLINE238,"Allied Air","","AJK","Nigeria",0
AIRLINE237,AIRLINE237,"A2 Jet Leasing","","AJJ","United States",0
AIRLINE236,AIRLINE236,"Ameristar Jet Charter","","AJI","United States",0
AIRLINE235,AIRLINE235,"Avia Consult Flugbetriebs","","AJF","Austria",0
AIRLINE234,AIRLINE234,"Aero Jet Express","","AJE","Mexico",0
AIRLINE233,AIRLINE233,"Aero JBR","","AJB","Mexico",0
AIRLINE232,AIRLINE232,"A J Services","","AJA","United Kingdom",0
AIRLINE231,AIRLINE231,"Arkia Israel Airlines","IZ","AIZ","Israel",1
AIRLINE230,AIRLINE230,"Aircrew Check and Training Australia","","AIY","Australia",0
AIRLINE3369,AIRLINE3369,"Mahalo Air","","MLH","United States",0
AIRLINE3368,AIRLINE3368,"Magna Air","","MGR","Austria",0
AIRLINE3367,AIRLINE3367,"Magic Blue Airlines","","MJB","Netherlands",0
AIRLINE3366,AIRLINE3366,"Maersk","DM","","Denmark",1
AIRLINE3365,AIRLINE3365,"Madina Air","","MDH","Libya",0
AIRLINE3364,AIRLINE3364,"Macedonian Airlines","","MCS","Greece",0
AIRLINE3363,AIRLINE3363,"Macair Airlines","CC","MCK","Australia",1
AIRLINE1189,AIRLINE1189,"Aero-Rent","","REN","Mexico",0
AIRLINE3362,AIRLINE3362,"MacKnight Airlines","","MTD","Australia",0
AIRLINE1188,AIRLINE1188,"Aer Arann","RE","REA","Ireland",1
AIRLINE3361,AIRLINE3361,"Mac Dan Aviation Corporation","","MCN","United States",0
AIRLINE1187,AIRLINE1187,"Air Ada","","RDM","Mauritania",0
AIRLINE3360,AIRLINE3360,"Mac Aviation","","MAQ","Spain",0
AIRLINE1186,AIRLINE1186,"Adygeya Airlines","","RDD","Russia",0
AIRLINE1185,AIRLINE1185,"Air Service Center","","RCX","Italy",0
AIRLINE1184,AIRLINE1184,"Atlantic S.L.","","RCU","Spain",0
AIRLINE1183,AIRLINE1183,"Aerolineas Regionales","","RCQ","Mexico",0
AIRLINE1182,AIRLINE1182,"Aerocorp","","RCP","Mexico",0
AIRLINE1181,AIRLINE1181,"Aero Renta De Coahuila","","RCO","Mexico",0
AIRLINE1180,AIRLINE1180,"Air Cassai","","RCI","Angola",0
AIRLINE20675,AIRLINE20675,"Jetstar Japan ","","JJP","Japan",1
AIRLINE229,AIRLINE229,"Aircruising Australia","","AIX","Australia",0
AIRLINE228,AIRLINE228,"Atlantic Island Airways","","AIW","Canada",0
AIRLINE227,AIRLINE227,"Aero Services Executive","W4","BES","France",0
AIRLINE226,AIRLINE226,"Airvias S/A Linhas Aereas","","AIV","Brazil",0
AIRLINE225,AIRLINE225,"Air Tahiti Nui","TN","THT","France",1
AIRLINE224,AIRLINE224,"Air Srpska","RB","SBK","Bosnia and Herzegovina",0
AIRLINE223,AIRLINE223,"Air Sureste","","AIS","Spain",0
